Symbol,RoePercent,RocePercent,DebtEquityRatio,BookValuePerShare,MarketCapCr
EMAMILTD,26.2,28.1,0.1224,67.0,17573.0
EMCURE,20.1,24.0,0.3147,261.0,35337.0
EMMVEE,51.1,44.8,0.0969,53.4,22432.0
ENDURANCE,14.9,17.8,0.0975,486.0,42614.0
ENGINERSIN,23.8,30.6,0.0097,56.0,13765.0
ERIS,18.7,14.1,0.0383,282.0,18407.0
ESCORTS,18.7,13.9,0.0064,1106.0,34532.0
ETERNAL,0.38,2.48,0.066,32.1,316532.0
EXIDEIND,5.97,8.54,0.0467,164.0,39066.0
NYKAA,15.3,17.2,0.9186,5.02,95661.0
FEDERALBNK,11.6,6.39,0.0,162.0,89232.0
FACT,1.61,8.65,1.4427,21.2,50685.0
FINCABLES,12.3,16.0,0.0028,398.0,19278.0
FSL,17.6,16.8,0.5298,62.0,19518.0
FORCEMOT,29.2,36.1,0.5701,3183.0,23414.0
FORTIS,11.2,13.4,0.1733,131.0,68482.0
GAIL,8.71,9.67,0.1419,135.0,113092.0
GABRIEL,20.2,25.6,0.5126,95.3,25177.0
GALLANTT,15.7,18.2,0.1739,137.0,14100.0
GICRE,14.6,17.4,0.0,422.0,62413.0
GLAXO,45.6,61.4,0.0115,134.0,49165.0
MEDANTA,15.2,17.1,0.2368,147.0,37903.0
GPIL,15.2,20.4,0.1096,86.5,16497.0
GODREJCP,16.1,18.8,0.1235,124.0,95474.0
GODREJIND,-7.28,5.79,3.608,52.5,41433.0
GRANULES,13.8,15.5,0.3901,205.0,21265.0
GRASIM,4.98,8.01,0.9492,1520.0,225121.0
GESHIP,15.9,15.8,0.453,1188.0,18721.0
FLUOROCHEM,10.2,12.3,0.22,647.0,50772.0
HEG,7.42,8.35,0.1553,247.0,13716.0
HCLTECH,23.8,30.4,0.097,277.0,353455.0
HDBFS,13.9,9.09,0.0,249.0,57800.0
HDFCBANK,14.0,6.92,0.0,375.0,1120311.0
HFCL,6.95,10.9,0.2519,32.0,34899.0
HEROMOTOCO,28.1,35.2,0.0363,1080.0,114781.0
HEXT,26.6,33.5,0.0,51.8,32534.0
HINDALCO,13.0,13.2,0.6802,608.0,232363.0
HINDCOPPER,32.9,42.5,0.0332,34.6,55381.0
HINDUNILVR,31.0,28.4,0.0207,207.0,473443.0
HINDZINC,76.4,69.2,0.2197,53.2,251364.0
HYUNDAI,29.9,38.4,0.0312,246.0,180287.0
ICICIBANK,15.8,6.9,0.0,489.0,1019048.0
ICICIPRULI,12.6,10.1,0.1189,94.0,74717.0
IDBI,14.1,5.92,0.0,63.8,88428.0
IDFCFIRSTB,3.76,5.98,0.0,56.2,74789.0
IFCI,2.09,5.03,0.0,33.2,21800.0
IIFL,12.6,10.9,0.0,327.0,28917.0
IRB,4.31,7.48,1.248,17.3,22888.0
IRCON,9.19,9.69,0.2685,70.6,11730.0
ITCHOTELS,7.89,11.2,0.1481,56.0,34365.0
ITC,29.3,38.9,0.0036,57.9,337552.0
ITI,-8.86,1.41,1.1083,19.8,26896.0
INDGN,14.4,18.8,0.0459,130.0,13679.0
INDIACEM,0.37,1.24,0.5351,327.0,11494.0
INDIAMART,20.7,28.0,0.0272,399.0,10478.0
INDIANB,15.4,6.32,0.0,623.0,118115.0
IEX,39.4,51.4,0.0081,15.3,11030.0
INDHOTEL,14.2,17.1,0.4871,91.7,103911.0
IOC,20.5,18.7,0.9449,155.0,191908.0
IOB,15.6,6.12,0.0,20.2,63566.0
IRCTC,34.6,46.1,0.6001,53.9,38736.0
IREDA,15.6,8.69,0.0,49.1,32306.0
IGL,14.0,17.9,0.0136,82.2,20702.0
INDUSTOWER,18.6,19.5,0.9344,150.0,99129.0
INDUSINDBK,1.36,5.68,0.0,844.0,78350.0
NAUKRI,1.81,3.45,0.0048,585.0,87543.0
INFY,31.9,40.0,0.0726,225.0,454908.0
INOXWIND,7.09,10.5,1.519,36.9,12720.0
INTELLECT,12.4,16.0,0.0097,227.0,9702.0
INDIGO,-27.1,5.24,5.474,180.0,197587.0
IKS,40.3,36.9,0.3065,131.0,30662.0
JKCEMENT,15.6,15.1,0.8785,911.0,40566.0
JBMA,12.6,13.8,1.0889,54.4,15939.0
JMFINANCIL,11.9,11.6,1.659,111.0,12272.0
JSWDULUX,19.1,22.7,0.0532,538.0,14203.0
JSWINFRA,15.3,13.6,0.4907,51.8,78218.0
JSWSTEEL,8.38,10.5,0.8355,350.0,316368.0
JPPOWER,3.6,6.97,0.4862,18.6,11719.0
JINDALSAW,8.2,10.4,0.7614,197.0,18651.0
JINDALSTEL,8.22,9.7,0.3488,499.0,115046.0
JIOFIN,2.51,2.85,0.0,46.1,161117.0
JUBLINGREA,9.52,11.4,0.2547,196.0,11442.0
JWL,6.39,9.16,0.35,69.7,10556.0
KPRMILL,15.7,19.6,0.3197,167.0,39363.0
KEI,14.8,20.1,0.1371,697.0,52844.0
KAJARIACER,17.9,23.3,0.0709,192.0,18991.0
KALYANKJIL,24.8,21.2,0.786,61.1,62332.0
KAYNES,9.64,13.2,0.1923,708.0,26150.0
KFINTECH,21.6,29.2,0.0329,97.0,16937.0
KIRLOSENG,14.9,18.7,0.042,231.0,30571.0
KIMS,11.3,9.5,0.3709,56.2,32866.0
LTTS,21.5,26.7,0.0963,611.0,38237.0
LICHSGFIN,14.4,8.59,0.0,753.0,27338.0
LTFOODS,13.1,16.8,0.1881,55.4,14849.0
LT,15.9,14.6,1.4051,794.0,563142.0
LAURUSLABS,18.3,17.8,0.4401,98.2,97364.0
THELEELA,8.21,8.73,0.428,192.0,18758.0
LEMONTREE,19.4,14.0,2.4918,17.6,8582.0
LENSKART,6.33,8.08,0.2888,50.3,115038.0
LICI,37.8,35.1,0.0,0.0,534146.0
LINDEINDIA,13.6,18.2,0.0055,500.0,56899.0
LLOYDSME,36.6,27.3,0.0628,246.0,105033.0
LODHA,15.5,16.4,0.9111,233.0,124098.0
LUPIN,28.7,29.9,0.3336,491.0,100673.0
MMTC,5.23,8.66,1.8598,14.1,9807.0
MRF,12.5,15.7,0.2196,49455.0,56265.0
MGL,12.2,17.0,0.2756,651.0,11006.0
M&MFIN,12.3,8.72,0.0,192.0,53041.0
M&M,20.3,15.1,1.3768,749.0,424317.0
MANAPPURAM,6.97,8.25,0.0,171.0,33581.0
MRPL,14.5,18.0,2.1602,81.0,30988.0
MANKIND,13.1,13.5,0.3872,395.0,98458.0
MARICO,42.8,47.0,0.1261,32.4,110266.0
MARUTI,14.3,18.9,0.0069,3408.0,426487.0
MFSL,1.52,2.87,0.1483,153.0,54701.0
MAXHEALTH,14.7,14.7,0.1385,110.0,97328.0
MAZDOCK,29.2,36.0,0.0025,242.0,102943.0
MEESHO,-42.3,-35.6,0.3438,9.61,95102.0
MINDACORP,14.7,12.7,0.3222,110.0,17401.0
MOTILALOFS,15.5,12.7,0.984,214.0,59630.0
MPHASIS,18.5,22.1,0.0664,563.0,46383.0
MCX,56.3,71.4,0.0014,112.0,81215.0
MUTHOOTFIN,30.9,15.8,0.0,1011.0,121324.0
NBCC,24.1,31.0,0.0,11.2,23998.0
NHPC,9.32,5.75,0.706,41.2,76493.0
NMDC,23.4,27.6,0.0796,38.7,74388.0
NSLNISP,0.45,3.06,0.4504,45.0,11661.0
NTPC,15.1,8.92,1.4332,210.0,329687.0
NATIONALUM,29.4,39.6,0.0059,118.0,72446.0
NAVINFLUOR,19.6,21.0,0.0554,775.0,42105.0
NESTLEIND,73.2,84.1,0.1102,27.5,284831.0
NEULANDLAB,21.2,26.5,0.2425,1461.0,29895.0
NAM-INDIA,34.5,43.8,0.0,73.0,80029.0
